label,n_traveltimes,mean_abs_dt_ms,median_abs_dt_ms,p90_abs_dt_ms,p95_abs_dt_ms,p99_abs_dt_ms,max_abs_dt_ms,mean_percent_change,p95_abs_percent_change,receiver_spacing_m,shot_spacing_m,receiver_halfwidth_m,shot_halfwidth_m,receiver_count_approx,shot_count_approx
r1_s4_rhw75_shw60,4643,0.08194752056096738,0.07088903342106559,0.16604600549298756,0.19731825046424858,0.2481243752551926,0.326091156900174,0.18309032213993637,2.664924212577301,1,4,75,60,151,31
r1_s4_rhw75_shw80,6144,0.07680679043986288,0.06493453573666597,0.1587863873775508,0.18905105365642041,0.2434134392205744,0.326091156900174,0.14479327381052345,2.3429590047865294,1,4,75,80,151,41
r1_s4_rhw75_shw100,7654,0.07147797025133537,0.05881616586346679,0.15022660006227193,0.17985555818202126,0.23717704567965225,0.326091156900174,0.1157992221710955,1.9783687052696646,1,4,75,100,151,51
r1_s5_rhw25_shw40,853,0.07842146774597056,0.065021685440303,0.1620978150881102,0.1960687847415165,0.24559356251422748,0.30589911023378746,0.05491758636564796,3.530076736051576,1,5,25,40,51,17
r1_s5_rhw25_shw60,1261,0.07934879898086745,0.06674246878866918,0.1650516945320476,0.1974778683578953,0.24628439474628172,0.3364615821128611,-0.004429471034833249,2.9872968130617905,1,5,25,60,51,25
r1_s5_rhw25_shw80,1669,0.07723189555276959,0.0645814879193015,0.15863386121377643,0.18957928667393886,0.24306159394266008,0.3364615821128611,-0.022266979273194952,2.566820158191454,1,5,25,80,51,33
r1_s5_rhw25_shw100,2077,0.07279645524325042,0.06092255096722121,0.14663887623335356,0.18002496250490746,0.23672630515076584,0.3364615821128611,-0.018406403906835518,2.1241917991244996,1,5,25,100,51,41
r1_s5_rhw35_shw40,1188,0.07920145448792855,0.0670969764147983,0.16284958102222763,0.19756251382011442,0.24766610202117953,0.30589911023378746,0.018261281754863176,4.122532388614025,1,5,35,40,71,17
r1_s5_rhw35_shw60,1756,0.07978616312054977,0.06772560892324303,0.1646063239440273,0.19798791701170892,0.25057215612309636,0.3364615821128611,-0.049595748890162966,3.117878804500379,1,5,35,60,71,25
r1_s5_rhw35_shw80,2324,0.07765600963640606,0.06567315367288132,0.158390906428442,0.19080043234177738,0.24462659161388334,0.3364615821128611,-0.06250363751640502,2.685281128310218,1,5,35,80,71,33
r1_s5_rhw35_shw100,2892,0.07283518547418158,0.06077579628592197,0.14816144048517674,0.18241835120197356,0.2399487145383109,0.3364615821128611,-0.05394155149004028,2.22167427268191,1,5,35,100,71,41
r1_s5_rhw50_shw40,1696,0.08341557283839329,0.06964414513552253,0.17255645885172477,0.20531280432005547,0.26801492362524165,0.326091156900174,0.12607574911865543,3.826393582970253,1,5,50,40,101,17
r1_s5_rhw50_shw60,2499,0.08264594582388571,0.06943689851789114,0.169018466739436,0.20511307835298226,0.2663771895567277,0.3364615821128611,0.02490835071462602,3.4609268812473015,1,5,50,60,101,25
r1_s5_rhw50_shw80,3307,0.07974512426647778,0.06767625565420182,0.16452239016314826,0.1976129025842472,0.2596729760754273,0.3364615821128611,0.0007120651735195659,2.8471237877015283,1,5,50,80,101,33
r1_s5_rhw50_shw100,4115,0.07479373451751692,0.0619065776919607,0.15508506463744812,0.18769311042984974,0.24562049568618344,0.3364615821128611,0.0018670356413957065,2.3808701677399133,1,5,50,100,101,41
r1_s5_rhw75_shw40,2546,0.07974823402096733,0.0658115384004846,0.16581202873918788,0.19780199979574972,0.2613597629466842,0.326091156900174,0.11016667981053864,2.984798977243284,1,5,75,40,151,17
r1_s5_rhw75_shw60,3742,0.0793302626627877,0.06606142905243341,0.16467511005258154,0.19786200592184344,0.25159930514429857,0.3364615821128611,0.060835879679368224,2.9104676096774784,1,5,75,60,151,25
r1_s5_rhw75_shw80,4942,0.07618310393766344,0.06354346603775754,0.1572777815628828,0.19058058035264422,0.24525808007579444,0.3364615821128611,0.022541769688203105,2.664486821830166,1,5,75,80,151,33
r1_s5_rhw75_shw100,6150,0.07099006381900268,0.05785290957379123,0.15008039995917377,0.1809734342340707,0.23955991847030444,0.3364615821128611,0.017535317202117217,2.1076338875824776,1,5,75,100,151,41
r1_s10_rhw25_shw40,451,0.0916548123765541,0.07705861074327677,0.18825733187166974,0.21677454400056625,0.2505970627828796,0.29944749579957286,0.22324232560068558,3.475947972878614,1,10,25,40,51,9
r1_s10_rhw25_shw60,655,0.08327667877894827,0.070519082600487,0.17099669862622355,0.19803677551551435,0.2455921449788614,0.29944749579957286,0.14655515498634789,2.9936885356121894,1,10,25,60,51,13
r1_s10_rhw25_shw80,859,0.07808134745949856,0.0649818006931771,0.16091198476858934,0.1909198532076444,0.24390590413245808,0.29944749579957286,0.0948980947465375,2.6388899843400213,1,10,25,80,51,17
r1_s10_rhw25_shw100,1063,0.07358557892057996,0.06136327202675533,0.1467068118518933,0.1816499330394796,0.2409577408313853,0.29944749579957286,0.07618994235440095,2.359205186881197,1,10,25,100,51,21
r1_s10_rhw35_shw40,629,0.09230633363179855,0.07912256715494545,0.1886506983761944,0.21856443509732754,0.2615234979649768,0.2994514643411168,0.1781715872271431,3.6827924598331365,1,10,35,40,71,9
r1_s10_rhw35_shw60,913,0.08369167854516248,0.07142558234760413,0.17048674261274668,0.19952316482625376,0.24983893746065244,0.2994514643411168,0.10552572387036685,3.153170066591239,1,10,35,60,71,13
r1_s10_rhw35_shw80,1197,0.07832693469106014,0.06565104070678507,0.1603101726312263,0.19300321971515716,0.24556237673617323,0.2994514643411168,0.0581290113971282,2.798791977058779,1,10,35,80,71,17
r1_s10_rhw35_shw100,1481,0.07349210673428636,0.061324308655866244,0.14968705617894595,0.18594915793206188,0.24292012433041332,0.2994514643411168,0.04348574082101916,2.4400118138331433,1,10,35,100,71,21
r1_s10_rhw50_shw40,897,0.09650850914252969,0.08477738227684675,0.19385891332013572,0.22362686150364883,0.28679955705038335,0.326091156900174,0.32847380330464265,4.383804724917771,1,10,50,40,101,9
r1_s10_rhw50_shw60,1299,0.08761229510286121,0.07313850345770645,0.17694430773723965,0.21241677256219352,0.27539721718574467,0.326091156900174,0.21467133314631692,3.484058136991196,1,10,50,60,101,13
r1_s10_rhw50_shw80,1703,0.08126536855495499,0.067675007279909,0.16622044285420046,0.1985358611386203,0.2658785544692128,0.326091156900174,0.14785095291454783,2.9862976787343865,1,10,50,80,101,17
r1_s10_rhw50_shw100,2107,0.07613978383664158,0.06218622697946093,0.1601150986969703,0.1907890439678136,0.2508162413889719,0.326091156900174,0.12071399497004491,2.568892536805536,1,10,50,100,101,21
r1_s10_rhw75_shw40,1347,0.0909020162819392,0.07767711915033018,0.18177330889934326,0.21343934526587632,0.2820956591463041,0.326091156900174,0.2553732276429717,3.2393903661788626,1,10,75,40,151,9
r1_s10_rhw75_shw60,1944,0.08236098949501451,0.06827511020810959,0.16833550081625598,0.19953178148761122,0.2661850146375141,0.326091156900174,0.21139771466626622,3.024110146895932,1,10,75,60,151,13
r1_s10_rhw75_shw80,2546,0.07650904692472112,0.06250306863762445,0.1604821298402956,0.19050132855838497,0.2499805451041302,0.326091156900174,0.15657264332616705,2.7936848323333083,1,10,75,80,151,17
r1_s10_rhw75_shw100,3150,0.07137017842631241,0.05777610754059085,0.15258995794523117,0.18104233946852324,0.24385451927062876,0.326091156900174,0.1256800219049791,2.2727805404321937,1,10,75,100,151,21
r2_s1_rhw25_shw40,1993,0.07748867961416071,0.06757600864057585,0.1592498464414268,0.1877340896818436,0.23990098552043976,0.2946820569584216,0.050798771965205804,4.067123317385177,2,1,25,40,26,81
r2_s1_rhw25_shw60,2993,0.07773440479378539,0.06757600864057585,0.15950783004294417,0.1884618618151132,0.24268434978981138,0.3061394825567033,0.05590702617361942,3.1060493670575244,2,1,25,60,26,121
r2_s1_rhw25_shw80,3993,0.07545426768784154,0.0646159796359614,0.1531938708366251,0.17965429364941402,0.23692767563237757,0.3061394825567033,0.03923968564324259,2.5347635967613438,2,1,25,80,26,161
r2_s1_rhw25_shw100,4993,0.0717253109817283,0.061131392712091004,0.14504240008189478,0.1725213985542165,0.23258856029972066,0.3061394825567033,0.033328082378778656,2.0947543731914693,2,1,25,100,26,201
r2_s1_rhw35_shw40,2790,0.07706147133619262,0.0670845099969555,0.1573765045092516,0.1861809360677005,0.2399015419815815,0.2994514643411168,0.05248898799735957,4.1340225891358156,2,1,35,40,36,81
r2_s1_rhw35_shw60,4190,0.07625147730413684,0.06581415223900176,0.15549099291397375,0.18507594546424114,0.24120089351441704,0.3061394825567033,0.04898097395920524,3.1235161890480083,2,1,35,60,36,121
r2_s1_rhw35_shw80,5590,0.07367196515445307,0.06296606958723291,0.14998732475335552,0.17653605846895296,0.23587024959317315,0.3061394825567033,0.03214761451144036,2.4736232713007063,2,1,35,80,36,161
r2_s1_rhw35_shw100,6990,0.06937279891263842,0.05853885852314007,0.1434410738218022,0.1685964553334915,0.22686429586906018,0.3061394825567033,0.02686738172002729,2.0605166031616426,2,1,35,100,36,201
r2_s1_rhw50_shw40,4078,0.07974183521021504,0.06813491928903906,0.16440432610503408,0.19476104556099877,0.2460903824731234,0.326091156900174,0.027317869589405602,3.5758590920936304,2,1,50,40,51,81
r2_s1_rhw50_shw60,6104,0.07891839809128252,0.06793576927970188,0.16268311948100886,0.19366950433384947,0.2460721048410859,0.326091156900174,0.042499725842257155,3.3356496534545763,2,1,50,60,51,121
r2_s1_rhw50_shw80,8144,0.07602590645425189,0.06449688303291831,0.15558821324895658,0.18536485906805525,0.2414239660135141,0.326091156900174,0.038945559340510534,2.6865948496465406,2,1,50,80,51,161
r2_s1_rhw50_shw100,10184,0.07175270491269833,0.05932924044609739,0.1491068410058241,0.17507361636486532,0.23587604582912355,0.326091156900174,0.03926076691372846,2.2087282829841874,2,1,50,100,51,201
r2_s1_rhw75_shw40,6022,0.0763243588767282,0.06494111171707548,0.15637211010523513,0.18649303361243572,0.24058778059478897,0.326091156900174,0.03374294339220562,2.7510656226479293,2,1,75,40,76,81
r2_s1_rhw75_shw60,8998,0.07538829741724914,0.06421847182870838,0.1550107350018988,0.1851241663273947,0.23899343121099387,0.326091156900174,0.04060824745482476,2.707822602827928,2,1,75,60,76,121
r2_s1_rhw75_shw80,11978,0.07230148601962168,0.060694692398834904,0.14999348051172248,0.1780956243711755,0.23555123601609088,0.326091156900174,0.04600428933978337,2.379034089562067,2,1,75,80,76,161
